Date,Open,High,Low,Close,Adj Close,Volume
2021-04-29,23.690001,23.900000,22.860001,23.080000,13.425931,18139100
2021-04-30,22.889999,23.410000,22.780001,23.100000,13.437566,27333100
2021-05-03,23.170000,23.260000,22.770000,23.010000,13.385211,15331500
2021-05-04,23.059999,23.260000,22.480000,22.480000,13.076905,15023900
2021-05-05,22.760000,23.570000,22.680000,23.400000,13.612080,21290700
2021-05-06,23.250000,23.440001,23.000000,23.070000,13.420115,12919700
2021-05-07,23.219999,23.930000,23.040001,23.930000,13.920386,21358800
2021-05-10,24.209999,24.459999,24.030001,24.230000,14.094900,21003500
2021-05-11,23.910000,24.600000,23.840000,24.549999,14.281048,18213400
2021-05-12,24.360001,24.870001,24.230000,24.240000,14.100718,18141800
2021-05-13,24.340000,24.580000,23.950001,24.500000,14.251963,15503000
2021-05-14,25.200001,25.730000,25.030001,25.639999,14.915115,21194500
2021-05-17,25.620001,25.940001,25.549999,25.940001,15.089630,11417200
2021-05-18,25.950001,26.049999,25.490000,25.600000,14.891848,14226100
2021-05-19,25.190001,25.590000,25.080000,25.520000,14.845309,13930700
2021-05-20,25.490000,25.580000,25.010000,25.170000,14.641710,12138100
2021-05-21,25.280001,25.530001,25.240000,25.420000,14.787139,17829100
2021-05-24,25.680000,25.750000,25.290001,25.680000,14.938386,14621400
2021-05-25,25.700001,25.820000,25.129999,25.219999,14.670794,19370700
2021-05-26,25.280001,25.469999,25.020000,25.450001,14.804591,10711300
2021-05-27,25.370001,25.600000,25.059999,25.250000,14.688249,20444900
2021-05-28,25.500000,26.760000,25.500000,26.709999,15.537548,47632100
2021-05-31,26.709999,26.860001,26.420000,26.650000,15.502645,20413800
2021-06-01,27.200001,27.480000,26.770000,27.230000,15.840037,29437700
2021-06-02,27.290001,28.590000,27.250000,28.580000,16.625351,44727900
2021-06-04,28.590000,29.290001,28.350000,28.930000,16.828951,42167500
2021-06-07,28.959999,29.129999,28.480000,28.719999,16.706791,39270400
2021-06-08,28.490000,29.559999,28.440001,29.410000,17.108171,51187500
2021-06-09,29.440001,29.940001,29.299999,29.510000,17.166344,26326900
2021-06-10,29.610001,29.879999,29.389999,29.570000,17.201244,18571600
2021-06-11,29.580000,29.700001,29.070000,29.299999,17.044184,15355500
2021-06-14,29.610001,29.990000,29.120001,29.260000,17.020916,17589000
2021-06-15,29.440001,29.580000,29.080000,29.469999,17.143074,11804900
2021-06-16,29.590000,29.790001,29.120001,29.570000,17.201244,27586600
2021-06-17,29.490000,29.650000,28.370001,28.660000,16.671888,17692600
2021-06-18,28.469999,28.760000,28.110001,28.740000,16.718424,20238900
2021-06-21,28.830000,29.450001,28.790001,29.340000,17.067453,9180700
2021-06-22,29.320000,29.580000,28.900000,29.370001,17.084904,14020000
2021-06-23,29.480000,29.879999,29.190001,29.440001,17.125624,11843000
2021-06-24,29.790001,30.010000,29.430000,29.889999,17.387396,13328500
2021-06-25,29.920000,30.160000,29.299999,29.410000,17.108171,18279900
2021-06-28,29.490000,29.559999,29.020000,29.280001,17.032551,11154700
2021-06-29,29.320000,29.760000,29.000000,29.680000,17.265236,18376200
2021-06-30,29.600000,30.490000,29.469999,30.290001,17.620081,38599800
2021-07-01,30.540001,30.840000,29.570000,29.760000,17.311773,14822500
2021-07-02,30.110001,30.110001,29.410000,30.030001,17.468834,10708800
2021-07-05,29.709999,29.980000,29.219999,29.690001,17.271051,9676800
2021-07-06,29.410000,29.650000,28.580000,28.580000,16.625351,26086000
2021-07-07,28.990000,28.990000,28.280001,28.730000,16.712608,15385400
2021-07-08,28.100000,28.549999,28.000000,28.160000,16.381033,13636300
2021-07-12,28.400000,28.600000,28.000000,28.450001,16.549730,12806700
2021-07-13,28.330000,28.680000,28.040001,28.559999,16.613716,8356500
2021-07-14,28.860001,28.990000,28.190001,28.370001,16.503191,15431200
2021-07-15,28.280001,28.389999,27.590000,27.700001,16.113443,14057500
2021-07-16,27.900000,27.959999,26.990000,27.170000,15.805135,13025200
2021-07-19,26.440001,26.930000,26.330000,26.850000,15.618989,15763200
2021-07-20,26.629999,27.570000,26.370001,27.290001,15.874944,13316700
2021-07-21,27.459999,28.000000,27.250000,27.730000,16.130896,12603000
2021-07-22,27.740000,27.950001,27.389999,27.770000,16.154165,6989400
2021-07-23,27.900000,27.920000,27.270000,27.400000,15.938929,7828900
2021-07-26,27.340000,28.040001,27.299999,27.950001,16.258871,10639300
2021-07-27,27.910000,27.990000,27.530001,27.830000,16.189068,7616200
2021-07-28,28.030001,28.440001,27.690001,28.340000,16.485741,12508600
2021-07-29,28.320000,28.420000,28.000000,28.230000,16.421751,6722500
2021-07-30,28.030001,28.250000,27.480000,27.500000,15.997102,16455300
2021-08-02,27.639999,28.219999,27.240000,27.240000,15.845858,18167000
2021-08-03,27.299999,27.700001,26.660000,27.700001,16.113443,14480700
2021-08-04,27.530001,27.590000,26.440001,26.700001,15.531731,21499300
2021-08-05,29.059999,29.900000,28.540001,29.270000,17.026733,56764100
2021-08-06,29.270000,29.389999,28.799999,29.110001,16.933661,14207700
2021-08-09,28.799999,28.950001,28.350000,28.840000,16.776596,16383300
2021-08-10,29.049999,29.490000,28.830000,28.850000,16.782413,13708300
2021-08-11,28.809999,29.600000,28.610001,29.299999,17.044184,13417700
2021-08-12,29.410000,29.750000,29.160000,29.459999,17.137259,14101100
2021-08-13,29.469999,30.049999,29.370001,29.920000,17.404846,14005900
2021-08-16,29.780001,29.780001,28.930000,29.350000,17.073269,14341000
2021-08-17,27.410000,28.450001,27.340000,27.750000,17.079370,20573000
2021-08-18,27.830000,28.080000,27.389999,27.420000,16.876265,15096100
2021-08-19,27.010000,27.420000,26.850000,27.160000,16.716242,13268300
2021-08-20,27.000000,27.160000,26.610001,27.150000,16.710085,12420500
2021-08-23,27.520000,28.070000,27.299999,28.059999,17.270166,21931900
2021-08-24,28.230000,28.379999,28.049999,28.379999,17.467117,9774200
2021-08-25,28.299999,28.469999,28.100000,28.450001,17.510202,9107100
2021-08-26,28.170000,28.650000,28.160000,28.219999,17.368643,17813300
2021-08-27,28.410000,29.110001,28.370001,29.080000,17.897949,10210800
2021-08-30,28.879999,29.260000,28.660000,28.719999,17.676378,15703900
2021-08-31,28.709999,28.780001,27.730000,27.920000,17.184002,30637100
2021-09-01,28.100000,28.120001,27.110001,27.770000,17.091681,18159400
2021-09-02,27.600000,28.240000,27.290001,27.290001,16.796255,15610800
2021-09-03,27.370001,27.469999,26.980000,27.299999,16.802408,34286600
2021-09-06,27.160000,27.580000,27.030001,27.370001,16.845491,7621100
2021-09-08,27.240000,27.260000,25.770000,25.850000,15.909973,26766100
2021-09-09,26.180000,26.540001,25.080000,26.090000,16.057686,40726600
2021-09-10,26.650000,26.750000,26.030001,26.070000,16.045376,16917300
2021-09-13,26.639999,27.070000,26.330000,26.879999,16.543909,8394200
